config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
baseline-20ms,tiny,1,32,1,662.74,2044.99,32,true,
baseline-20ms,tiny,1,32,2,1141.33,3440.32,32,true,
baseline-20ms,tiny,1,32,3,1724.19,5067.09,32,true,
baseline-20ms,tiny,1,32,4,2557.62,7451.11,32,true,
baseline-20ms,tiny,1,32,5,3210.81,9223.96,32,true,
baseline-20ms,short,7,64,1,3618.16,3618.24,9,true,
baseline-20ms,short,7,64,2,3737.29,3737.35,9,true,
baseline-20ms,short,7,64,3,3999.18,3999.25,9,true,
baseline-20ms,short,7,64,4,4160.50,4160.61,9,true,
baseline-20ms,short,7,64,5,3843.36,3843.43,9,true,
baseline-20ms,medium,52,64,1,5537.25,28649.01,64,true,
baseline-20ms,medium,52,64,2,7403.83,34422.46,64,true,
baseline-20ms,medium,52,64,3,8868.25,44930.62,64,true,
baseline-20ms,medium,52,64,4,9583.96,47386.18,64,true,
baseline-20ms,medium,52,64,5,11778.51,60532.19,64,true,
baseline-20ms,long,221,32,1,13247.78,33144.27,32,true,
baseline-20ms,long,221,32,2,12668.11,31355.32,32,true,
baseline-20ms,long,221,32,3,14884.86,37022.65,32,true,
baseline-20ms,long,221,32,4,13641.14,34194.15,32,true,
baseline-20ms,long,221,32,5,14360.27,35961.55,32,true,
baseline-20ms,xlong,441,32,1,16958.52,42476.29,32,true,
baseline-20ms,xlong,441,32,2,17643.37,44530.23,32,true,
baseline-20ms,xlong,441,32,3,18434.20,46296.79,32,true,
baseline-20ms,xlong,441,32,4,19113.47,48124.00,32,true,
baseline-20ms,xlong,441,32,5,19853.11,49887.76,32,true,
baseline-20ms,xxlong,884,16,1,22155.94,25911.47,16,true,
baseline-20ms,xxlong,884,16,2,22634.88,25968.37,16,true,
baseline-20ms,xxlong,884,16,3,23132.79,26499.18,16,true,
baseline-20ms,xxlong,884,16,4,21119.47,24175.93,16,true,
baseline-20ms,xxlong,884,16,5,20963.74,24039.11,16,true,
