config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
baseline-v3,tiny,1,32,1,364.74,793.02,32,true,
baseline-v3,tiny,1,32,2,352.87,781.25,32,true,
baseline-v3,tiny,1,32,3,351.93,780.46,32,true,
baseline-v3,tiny,1,32,4,351.48,784.13,32,true,
baseline-v3,tiny,1,32,5,539.93,1818.70,32,true,
baseline-v3,short,7,64,1,1144.52,8140.28,64,true,
baseline-v3,short,7,64,2,2523.15,14355.11,64,true,
baseline-v3,short,7,64,3,3820.46,20787.38,64,true,
baseline-v3,short,7,64,4,5179.73,27482.95,64,true,
baseline-v3,short,7,64,5,6557.71,33968.45,64,true,
baseline-v3,medium,52,64,1,7440.18,40866.80,64,true,
baseline-v3,medium,52,64,2,8625.56,47779.75,64,true,
baseline-v3,medium,52,64,3,9871.13,54257.50,64,true,
baseline-v3,medium,52,64,4,11211.17,60780.57,64,true,
baseline-v3,medium,52,64,5,12353.79,67169.21,64,true,
baseline-v3,long,221,32,1,16039.16,41087.73,32,true,
baseline-v3,long,221,32,2,16220.25,42645.55,32,true,
baseline-v3,long,221,32,3,15237.66,39524.66,32,true,
baseline-v3,long,221,32,4,17720.84,46196.27,32,true,
baseline-v3,long,221,32,5,18593.32,48441.21,32,true,
baseline-v3,xlong,441,32,1,18600.17,45687.00,32,true,
baseline-v3,xlong,441,32,2,19624.17,46684.96,32,true,
baseline-v3,xlong,441,32,3,20133.98,47780.61,32,true,
baseline-v3,xlong,441,32,4,23619.17,53981.28,32,true,
baseline-v3,xlong,441,32,5,21718.93,51131.14,32,true,
baseline-v3,xxlong,884,16,1,22483.96,27519.81,16,true,
baseline-v3,xxlong,884,16,2,25792.95,29638.76,16,true,
baseline-v3,xxlong,884,16,3,23385.21,26810.30,16,true,
baseline-v3,xxlong,884,16,4,22081.16,27347.00,16,true,
baseline-v3,xxlong,884,16,5,22303.51,27747.53,16,true,
