config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
baseline,tiny,1,32,1,384.85,820.28,32,true,
baseline,tiny,1,32,2,360.64,798.10,32,true,
baseline,tiny,1,32,3,388.76,823.83,32,true,
baseline,tiny,1,32,4,361.91,797.72,32,true,
baseline,tiny,1,32,5,576.81,1968.98,32,true,
baseline,short,7,64,1,1175.18,8667.13,64,true,
baseline,short,7,64,2,2856.53,15463.92,64,true,
baseline,short,7,64,3,4323.97,22810.88,64,true,
baseline,short,7,64,4,5925.91,29992.05,64,true,
baseline,short,7,64,5,6733.86,36452.48,64,true,
baseline,medium,52,64,1,8270.68,44585.90,64,true,
baseline,medium,52,64,2,9971.92,54050.75,64,true,
baseline,medium,52,64,3,11565.62,58356.09,64,true,
baseline,medium,52,64,4,13683.81,68638.16,64,true,
baseline,medium,52,64,5,14241.98,74313.08,64,true,
baseline,long,221,32,1,16353.91,41863.35,32,true,
baseline,long,221,32,2,16752.68,42552.93,32,true,
baseline,long,221,32,3,17539.41,45387.46,32,true,
baseline,long,221,32,4,18140.37,47148.48,32,true,
baseline,long,221,32,5,17706.73,45320.98,32,true,
baseline,xlong,441,32,1,19105.94,49995.67,32,true,
baseline,xlong,441,32,2,19609.15,48528.17,32,true,
baseline,xlong,441,32,3,20913.47,54773.80,32,true,
baseline,xlong,441,32,4,22081.22,57037.65,32,true,
baseline,xlong,441,32,5,22004.82,57894.00,32,true,
baseline,xxlong,884,16,1,27498.06,31382.51,16,true,
baseline,xxlong,884,16,2,24437.11,30336.48,16,true,
baseline,xxlong,884,16,3,24188.68,30236.94,16,true,
baseline,xxlong,884,16,4,27102.64,31150.89,16,true,
baseline,xxlong,884,16,5,26703.34,30803.75,16,true,
