config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
mixed-B-20ms,tiny,1,32,1,674.73,1111.96,32,true,
mixed-B-20ms,tiny,1,32,2,450.77,887.25,32,true,
mixed-B-20ms,tiny,1,32,3,462.56,897.17,32,true,
mixed-B-20ms,tiny,1,32,4,445.21,879.93,32,true,
mixed-B-20ms,tiny,1,32,5,619.78,2034.04,32,true,
mixed-B-20ms,short,7,64,1,1380.59,9042.89,64,true,
mixed-B-20ms,short,7,64,2,3124.50,16102.45,64,true,
mixed-B-20ms,short,7,64,3,4298.93,21209.87,64,true,
mixed-B-20ms,short,7,64,4,6538.91,31271.30,64,true,
mixed-B-20ms,short,7,64,5,8173.18,38842.17,64,true,
mixed-B-20ms,medium,52,64,1,10008.38,46806.32,64,true,
mixed-B-20ms,medium,52,64,2,11689.45,51657.46,64,true,
mixed-B-20ms,medium,52,64,3,13517.31,60535.96,64,true,
mixed-B-20ms,medium,52,64,4,15099.17,69825.24,64,true,
mixed-B-20ms,medium,52,64,5,16584.80,72082.84,64,true,
mixed-B-20ms,long,221,32,1,16782.01,36844.52,32,true,
mixed-B-20ms,long,221,32,2,19776.40,43509.17,32,true,
mixed-B-20ms,long,221,32,3,18788.56,41133.87,32,true,
mixed-B-20ms,long,221,32,4,18790.00,41520.31,32,true,
mixed-B-20ms,long,221,32,5,,,0,false,
mixed-B-20ms,xlong,441,32,1,20253.90,44111.94,32,true,
mixed-B-20ms,xlong,441,32,2,20461.47,46236.63,32,true,
mixed-B-20ms,xlong,441,32,3,,,0,false,
mixed-B-20ms,xlong,441,32,4,,,0,false,
mixed-B-20ms,xlong,441,32,5,,,0,false,
mixed-B-20ms,xxlong,884,16,1,,,0,false,
mixed-B-20ms,xxlong,884,16,2,22335.28,23806.44,16,true,
mixed-B-20ms,xxlong,884,16,3,,,0,false,
mixed-B-20ms,xxlong,884,16,4,,,0,false,
mixed-B-20ms,xxlong,884,16,5,,,0,false,
