config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
mixed-B-v3,tiny,1,32,1,552.79,988.91,32,true,
mixed-B-v3,tiny,1,32,2,418.02,855.53,32,true,
mixed-B-v3,tiny,1,32,3,418.41,853.73,32,true,
mixed-B-v3,tiny,1,32,4,402.97,837.42,32,true,
mixed-B-v3,tiny,1,32,5,578.17,1962.79,32,true,
mixed-B-v3,short,7,64,1,1312.56,9121.66,64,true,
mixed-B-v3,short,7,64,2,2694.23,16191.87,64,true,
mixed-B-v3,short,7,64,3,4024.05,23609.70,64,true,
mixed-B-v3,short,7,64,4,5536.19,31225.05,64,true,
mixed-B-v3,short,7,64,5,6650.20,35199.82,64,true,
mixed-B-v3,medium,52,64,1,7677.68,44125.51,64,true,
mixed-B-v3,medium,52,64,2,9162.80,48650.64,64,true,
mixed-B-v3,medium,52,64,3,11313.22,62006.04,64,true,
mixed-B-v3,medium,52,64,4,12526.61,67653.52,64,true,
mixed-B-v3,medium,52,64,5,14083.93,76946.11,64,true,
mixed-B-v3,long,221,32,1,16159.56,41043.95,32,true,
mixed-B-v3,long,221,32,2,10593.79,10593.88,9,true,
mixed-B-v3,long,221,32,3,9913.29,9913.35,9,true,
mixed-B-v3,long,221,32,4,11434.66,11434.73,9,true,
mixed-B-v3,long,221,32,5,11545.93,11545.99,9,true,
mixed-B-v3,xlong,441,32,1,18116.80,44763.10,32,true,
mixed-B-v3,xlong,441,32,2,16195.63,43015.37,32,true,
mixed-B-v3,xlong,441,32,3,19073.56,48930.24,32,true,
mixed-B-v3,xlong,441,32,4,18354.07,46757.34,32,true,
mixed-B-v3,xlong,441,32,5,21455.32,54828.44,32,true,
mixed-B-v3,xxlong,884,16,1,22765.37,27886.86,16,true,
mixed-B-v3,xxlong,884,16,2,23374.59,26840.01,16,true,
mixed-B-v3,xxlong,884,16,3,24078.66,27717.60,16,true,
mixed-B-v3,xxlong,884,16,4,21572.31,24753.22,16,true,
mixed-B-v3,xxlong,884,16,5,22861.49,26297.78,16,true,
