config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
mixed-B,tiny,1,32,1,522.56,959.87,32,true,
mixed-B,tiny,1,32,2,434.78,868.09,32,true,
mixed-B,tiny,1,32,3,389.21,823.55,32,true,
mixed-B,tiny,1,32,4,407.24,860.51,32,true,
mixed-B,tiny,1,32,5,608.59,2040.91,32,true,
mixed-B,short,7,64,1,1289.69,8973.12,64,true,
mixed-B,short,7,64,2,3053.22,16026.64,64,true,
mixed-B,short,7,64,3,4679.89,23401.45,64,true,
mixed-B,short,7,64,4,6431.53,31251.19,64,true,
mixed-B,short,7,64,5,7427.51,36964.73,64,true,
mixed-B,medium,52,64,1,9870.46,42921.25,64,true,
mixed-B,medium,52,64,2,11642.81,54281.17,64,true,
mixed-B,medium,52,64,3,13328.19,62296.69,64,true,
mixed-B,medium,52,64,4,14942.18,66070.88,64,true,
mixed-B,medium,52,64,5,16556.00,72642.40,64,true,
mixed-B,long,221,32,1,17131.65,37576.76,32,true,
mixed-B,long,221,32,2,18018.34,39326.33,32,true,
mixed-B,long,221,32,3,20449.65,45108.23,32,true,
mixed-B,long,221,32,4,,,0,false,
mixed-B,long,221,32,5,,,0,false,
mixed-B,xlong,441,32,1,,,0,false,
mixed-B,xlong,441,32,2,,,0,false,
mixed-B,xlong,441,32,3,,,0,false,
mixed-B,xlong,441,32,4,,,0,false,
mixed-B,xlong,441,32,5,,,0,false,
mixed-B,xxlong,884,16,1,22520.29,23977.02,16,true,
mixed-B,xxlong,884,16,2,19255.63,20537.49,16,true,
mixed-B,xxlong,884,16,3,,,0,false,
mixed-B,xxlong,884,16,4,,,0,false,
mixed-B,xxlong,884,16,5,,,0,false,
