config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
quant-4bit-20ms,tiny,1,32,1,687.24,1101.58,32,true,
quant-4bit-20ms,tiny,1,32,2,474.55,886.39,32,true,
quant-4bit-20ms,tiny,1,32,3,479.88,891.15,32,true,
quant-4bit-20ms,tiny,1,32,4,465.19,877.51,32,true,
quant-4bit-20ms,tiny,1,32,5,656.91,2046.90,32,true,
quant-4bit-20ms,short,7,64,1,1262.81,9110.91,64,true,
quant-4bit-20ms,short,7,64,2,2942.02,14690.84,64,true,
quant-4bit-20ms,short,7,64,3,4401.52,21386.55,64,true,
quant-4bit-20ms,short,7,64,4,5747.12,27808.62,64,true,
quant-4bit-20ms,short,7,64,5,8134.21,37026.51,64,true,
quant-4bit-20ms,medium,52,64,1,8981.25,41630.67,64,true,
quant-4bit-20ms,medium,52,64,2,11510.28,50368.76,64,true,
quant-4bit-20ms,medium,52,64,3,12710.11,55932.51,64,true,
quant-4bit-20ms,medium,52,64,4,13393.78,65749.79,64,true,
quant-4bit-20ms,medium,52,64,5,16647.06,76921.90,64,true,
quant-4bit-20ms,long,221,32,1,18387.22,38409.76,32,true,
quant-4bit-20ms,long,221,32,2,19564.08,43218.49,32,true,
quant-4bit-20ms,long,221,32,3,20472.58,45208.34,32,true,
quant-4bit-20ms,long,221,32,4,21119.37,46371.17,32,true,
quant-4bit-20ms,long,221,32,5,,,0,false,
quant-4bit-20ms,xlong,441,32,1,22849.14,49365.20,32,true,
quant-4bit-20ms,xlong,441,32,2,20730.82,47282.01,32,true,
quant-4bit-20ms,xlong,441,32,3,23980.16,52550.70,32,true,
quant-4bit-20ms,xlong,441,32,4,22781.79,52606.27,32,true,
quant-4bit-20ms,xlong,441,32,5,,,0,false,
quant-4bit-20ms,xxlong,884,16,1,,,0,false,
quant-4bit-20ms,xxlong,884,16,2,,,0,false,
quant-4bit-20ms,xxlong,884,16,3,,,0,false,
quant-4bit-20ms,xxlong,884,16,4,,,0,false,
quant-4bit-20ms,xxlong,884,16,5,,,0,false,
