config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
quant-4bit,tiny,1,32,1,553.16,964.77,32,true,
quant-4bit,tiny,1,32,2,426.14,837.88,32,true,
quant-4bit,tiny,1,32,3,421.70,832.78,32,true,
quant-4bit,tiny,1,32,4,415.41,827.11,32,true,
quant-4bit,tiny,1,32,5,591.47,1964.35,32,true,
quant-4bit,short,7,64,1,1210.74,9042.30,64,true,
quant-4bit,short,7,64,2,3077.31,15940.67,64,true,
quant-4bit,short,7,64,3,4680.26,22330.03,64,true,
quant-4bit,short,7,64,4,6287.78,30738.07,64,true,
quant-4bit,short,7,64,5,8014.31,38543.43,64,true,
quant-4bit,medium,52,64,1,9782.45,46267.38,64,true,
quant-4bit,medium,52,64,2,11497.14,53891.34,64,true,
quant-4bit,medium,52,64,3,13034.18,57896.92,64,true,
quant-4bit,medium,52,64,4,14016.97,62043.77,64,true,
quant-4bit,medium,52,64,5,15495.04,69997.72,64,true,
quant-4bit,long,221,32,1,18263.65,38361.01,32,true,
quant-4bit,long,221,32,2,19490.30,42925.94,32,true,
quant-4bit,long,221,32,3,18306.90,42377.67,32,true,
quant-4bit,long,221,32,4,20945.13,46200.80,32,true,
quant-4bit,long,221,32,5,,,0,false,
quant-4bit,xlong,441,32,1,17541.14,47255.47,32,true,
quant-4bit,xlong,441,32,2,23011.99,51162.44,32,true,
quant-4bit,xlong,441,32,3,21026.08,48022.33,32,true,
quant-4bit,xlong,441,32,4,24381.88,51227.49,32,true,
quant-4bit,xlong,441,32,5,25089.47,55725.52,32,true,
quant-4bit,xxlong,884,16,1,24644.24,26273.79,16,true,
quant-4bit,xxlong,884,16,2,,,0,false,
quant-4bit,xxlong,884,16,3,,,0,false,
quant-4bit,xxlong,884,16,4,,,0,false,
quant-4bit,xxlong,884,16,5,,,0,false,
