config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
quant-8bit-v3,tiny,1,32,1,485.56,921.02,32,true,
quant-8bit-v3,tiny,1,32,2,372.49,807.67,32,true,
quant-8bit-v3,tiny,1,32,3,371.40,805.42,32,true,
quant-8bit-v3,tiny,1,32,4,367.86,798.28,32,true,
quant-8bit-v3,tiny,1,32,5,545.93,1818.85,32,true,
quant-8bit-v3,short,7,64,1,1166.67,8177.79,64,true,
quant-8bit-v3,short,7,64,2,2535.16,14275.22,64,true,
quant-8bit-v3,short,7,64,3,4438.29,23347.05,64,true,
quant-8bit-v3,short,7,64,4,5887.98,31002.51,64,true,
quant-8bit-v3,short,7,64,5,7402.79,38569.24,64,true,
quant-8bit-v3,medium,52,64,1,7431.68,41305.41,64,true,
quant-8bit-v3,medium,52,64,2,9930.10,54726.36,64,true,
quant-8bit-v3,medium,52,64,3,10055.03,54851.19,64,true,
quant-8bit-v3,medium,52,64,4,11589.01,68700.16,64,true,
quant-8bit-v3,medium,52,64,5,12527.29,69078.75,64,true,
quant-8bit-v3,long,221,32,1,14183.97,36361.14,32,true,
quant-8bit-v3,long,221,32,2,18053.08,43382.35,32,true,
quant-8bit-v3,long,221,32,3,16395.80,39288.45,32,true,
quant-8bit-v3,long,221,32,4,18048.33,42126.55,32,true,
quant-8bit-v3,long,221,32,5,17881.22,44560.88,32,true,
quant-8bit-v3,xlong,441,32,1,17875.32,45334.46,32,true,
quant-8bit-v3,xlong,441,32,2,19447.33,46170.89,32,true,
quant-8bit-v3,xlong,441,32,3,20088.98,47831.19,32,true,
quant-8bit-v3,xlong,441,32,4,20909.79,49617.84,32,true,
quant-8bit-v3,xlong,441,32,5,21461.06,51119.87,32,true,
quant-8bit-v3,xxlong,884,16,1,22289.62,27372.99,16,true,
quant-8bit-v3,xxlong,884,16,2,21284.31,26397.44,16,true,
quant-8bit-v3,xxlong,884,16,3,21625.00,26745.45,16,true,
quant-8bit-v3,xxlong,884,16,4,24964.64,28486.49,16,true,
quant-8bit-v3,xxlong,884,16,5,23870.53,27427.52,16,true,
