config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
qwen2.5-7b_baseline,tiny,1,32,1,379.37,795.72,32,true,
qwen2.5-7b_baseline,tiny,1,32,2,368.21,786.35,32,true,
qwen2.5-7b_baseline,tiny,1,32,3,369.14,788.71,32,true,
qwen2.5-7b_baseline,tiny,1,32,4,370.24,788.49,32,true,
qwen2.5-7b_baseline,tiny,1,32,5,602.84,2001.95,32,true,
qwen2.5-7b_baseline,short,7,64,1,1294.59,8615.96,64,true,
qwen2.5-7b_baseline,short,7,64,2,2829.37,15176.49,64,true,
qwen2.5-7b_baseline,short,7,64,3,4269.78,21823.92,64,true,
qwen2.5-7b_baseline,short,7,64,4,5784.29,28972.10,64,true,
qwen2.5-7b_baseline,short,7,64,5,7292.19,35818.70,64,true,
qwen2.5-7b_baseline,medium,52,64,1,8296.59,43304.98,64,true,
qwen2.5-7b_baseline,medium,52,64,2,9645.79,49925.46,64,true,
qwen2.5-7b_baseline,medium,52,64,3,11095.75,56987.24,64,true,
qwen2.5-7b_baseline,medium,52,64,4,12578.57,64236.62,64,true,
qwen2.5-7b_baseline,medium,52,64,5,13912.88,71371.08,64,true,
qwen2.5-7b_baseline,long,221,32,1,15916.37,38967.30,32,true,
qwen2.5-7b_baseline,long,221,32,2,16331.54,40297.64,32,true,
qwen2.5-7b_baseline,long,221,32,3,17143.55,42453.56,32,true,
qwen2.5-7b_baseline,long,221,32,4,18139.37,44440.52,32,true,
qwen2.5-7b_baseline,long,221,32,5,18523.40,46063.77,32,true,
qwen2.5-7b_baseline,xlong,441,32,1,21545.89,48629.75,32,true,
qwen2.5-7b_baseline,xlong,441,32,2,20471.73,49930.48,32,true,
qwen2.5-7b_baseline,xlong,441,32,3,20999.13,51539.73,32,true,
qwen2.5-7b_baseline,xlong,441,32,4,21705.69,53325.36,32,true,
qwen2.5-7b_baseline,xlong,441,32,5,22477.49,55097.30,32,true,
qwen2.5-7b_baseline,xxlong,884,16,1,26691.87,30204.00,16,true,
qwen2.5-7b_baseline,xxlong,884,16,2,24058.59,29439.17,16,true,
qwen2.5-7b_baseline,xxlong,884,16,3,24651.74,30155.50,16,true,
qwen2.5-7b_baseline,xxlong,884,16,4,24919.63,30476.74,16,true,
qwen2.5-7b_baseline,xxlong,884,16,5,25295.06,30967.38,16,true,
