config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
qwen2.5-7b_mixed-b,tiny,1,32,1,509.53,933.01,32,true,
qwen2.5-7b_mixed-b,tiny,1,32,2,397.23,819.67,32,true,
qwen2.5-7b_mixed-b,tiny,1,32,3,402.58,825.14,32,true,
qwen2.5-7b_mixed-b,tiny,1,32,4,395.13,818.01,32,true,
qwen2.5-7b_mixed-b,tiny,1,32,5,616.56,1933.00,32,true,
qwen2.5-7b_mixed-b,short,7,64,1,1396.67,9249.60,64,true,
qwen2.5-7b_mixed-b,short,7,64,2,2611.16,14915.02,64,true,
qwen2.5-7b_mixed-b,short,7,64,3,3978.14,21578.48,64,true,
qwen2.5-7b_mixed-b,short,7,64,4,5305.11,28406.78,64,true,
qwen2.5-7b_mixed-b,short,7,64,5,7645.88,40065.52,64,true,
qwen2.5-7b_mixed-b,medium,52,64,1,8214.22,46225.06,64,true,
qwen2.5-7b_mixed-b,medium,52,64,2,10693.23,54870.12,64,true,
qwen2.5-7b_mixed-b,medium,52,64,3,11270.23,57357.59,64,true,
qwen2.5-7b_mixed-b,medium,52,64,4,13979.35,71072.11,64,true,
qwen2.5-7b_mixed-b,medium,52,64,5,15634.94,79642.93,64,true,
qwen2.5-7b_mixed-b,long,221,32,1,15598.04,38432.24,32,true,
qwen2.5-7b_mixed-b,long,221,32,2,19518.77,45021.49,32,true,
qwen2.5-7b_mixed-b,long,221,32,3,20095.35,47039.04,32,true,
qwen2.5-7b_mixed-b,long,221,32,4,19032.06,43597.11,32,true,
qwen2.5-7b_mixed-b,long,221,32,5,21188.40,47240.36,32,true,
qwen2.5-7b_mixed-b,xlong,441,32,1,23899.71,53875.07,32,true,
qwen2.5-7b_mixed-b,xlong,441,32,2,21436.88,48945.26,32,true,
qwen2.5-7b_mixed-b,xlong,441,32,3,22562.91,51699.88,32,true,
qwen2.5-7b_mixed-b,xlong,441,32,4,22997.55,52401.82,32,true,
qwen2.5-7b_mixed-b,xlong,441,32,5,24221.93,55155.24,32,true,
qwen2.5-7b_mixed-b,xxlong,884,16,1,25142.78,30445.29,16,true,
qwen2.5-7b_mixed-b,xxlong,884,16,2,25760.16,29292.08,16,true,
qwen2.5-7b_mixed-b,xxlong,884,16,3,25852.10,29452.20,16,true,
qwen2.5-7b_mixed-b,xxlong,884,16,4,27213.61,30909.01,16,true,
qwen2.5-7b_mixed-b,xxlong,884,16,5,27151.63,31028.66,16,true,
