config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
qwen2.5-7b_quant-4bit,tiny,1,32,1,559.76,956.93,32,true,
qwen2.5-7b_quant-4bit,tiny,1,32,2,471.33,871.59,32,true,
qwen2.5-7b_quant-4bit,tiny,1,32,3,431.24,824.75,32,true,
qwen2.5-7b_quant-4bit,tiny,1,32,4,424.50,821.84,32,true,
qwen2.5-7b_quant-4bit,tiny,1,32,5,621.38,2045.75,32,true,
qwen2.5-7b_quant-4bit,short,7,64,1,1218.93,8959.94,64,true,
qwen2.5-7b_quant-4bit,short,7,64,2,2775.83,15253.81,64,true,
qwen2.5-7b_quant-4bit,short,7,64,3,4444.14,22772.92,64,true,
qwen2.5-7b_quant-4bit,short,7,64,4,5647.28,28771.39,64,true,
qwen2.5-7b_quant-4bit,short,7,64,5,6886.94,36032.39,64,true,
qwen2.5-7b_quant-4bit,medium,52,64,1,9253.12,47806.59,64,true,
qwen2.5-7b_quant-4bit,medium,52,64,2,10808.23,55664.99,64,true,
qwen2.5-7b_quant-4bit,medium,52,64,3,11845.02,58147.30,64,true,
qwen2.5-7b_quant-4bit,medium,52,64,4,12950.76,70791.32,64,true,
qwen2.5-7b_quant-4bit,medium,52,64,5,15538.01,79273.54,64,true,
qwen2.5-7b_quant-4bit,long,221,32,1,16571.45,39543.03,32,true,
qwen2.5-7b_quant-4bit,long,221,32,2,17559.17,43850.22,32,true,
qwen2.5-7b_quant-4bit,long,221,32,3,17300.81,42502.96,32,true,
qwen2.5-7b_quant-4bit,long,221,32,4,19832.36,48460.75,32,true,
qwen2.5-7b_quant-4bit,long,221,32,5,20463.68,48050.96,32,true,
qwen2.5-7b_quant-4bit,xlong,441,32,1,23827.31,53828.45,32,true,
qwen2.5-7b_quant-4bit,xlong,441,32,2,22612.77,55558.34,32,true,
qwen2.5-7b_quant-4bit,xlong,441,32,3,22406.23,52861.46,32,true,
qwen2.5-7b_quant-4bit,xlong,441,32,4,21553.39,52625.24,32,true,
qwen2.5-7b_quant-4bit,xlong,441,32,5,25184.22,60076.68,32,true,
qwen2.5-7b_quant-4bit,xxlong,884,16,1,27845.97,33732.62,16,true,
qwen2.5-7b_quant-4bit,xxlong,884,16,2,26839.60,32814.20,16,true,
qwen2.5-7b_quant-4bit,xxlong,884,16,3,24145.55,29494.35,16,true,
qwen2.5-7b_quant-4bit,xxlong,884,16,4,27454.23,33739.00,16,true,
qwen2.5-7b_quant-4bit,xxlong,884,16,5,25594.19,31238.73,16,true,
