config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
qwen2.5-7b_baseline_v2,tiny,1,32,1,304.48,637.53,32,true,
qwen2.5-7b_baseline_v2,tiny,1,32,2,291.36,624.31,32,true,
qwen2.5-7b_baseline_v2,tiny,1,32,3,292.41,625.14,32,true,
qwen2.5-7b_baseline_v2,tiny,1,32,4,291.80,624.80,32,true,
qwen2.5-7b_baseline_v2,tiny,1,32,5,291.47,624.29,32,true,
qwen2.5-7b_baseline_v2,short,7,64,1,326.63,1202.24,64,true,
qwen2.5-7b_baseline_v2,short,7,64,2,310.47,1186.32,64,true,
qwen2.5-7b_baseline_v2,short,7,64,3,308.91,1184.85,64,true,
qwen2.5-7b_baseline_v2,short,7,64,4,310.81,1186.80,64,true,
qwen2.5-7b_baseline_v2,short,7,64,5,309.23,1185.20,64,true,
qwen2.5-7b_baseline_v2,medium,52,64,1,340.57,1235.66,64,true,
qwen2.5-7b_baseline_v2,medium,52,64,2,292.93,1188.15,64,true,
qwen2.5-7b_baseline_v2,medium,52,64,3,293.30,1188.48,64,true,
qwen2.5-7b_baseline_v2,medium,52,64,4,293.63,1189.05,64,true,
qwen2.5-7b_baseline_v2,medium,52,64,5,291.84,1186.98,64,true,
qwen2.5-7b_baseline_v2,long,221,32,1,477.15,811.14,32,true,
qwen2.5-7b_baseline_v2,long,221,32,2,295.34,629.42,32,true,
qwen2.5-7b_baseline_v2,long,221,32,3,293.89,627.81,32,true,
qwen2.5-7b_baseline_v2,long,221,32,4,294.70,628.80,32,true,
qwen2.5-7b_baseline_v2,long,221,32,5,292.76,627.06,32,true,
qwen2.5-7b_baseline_v2,xlong,441,32,1,532.96,849.55,32,true,
qwen2.5-7b_baseline_v2,xlong,441,32,2,295.37,629.45,32,true,
qwen2.5-7b_baseline_v2,xlong,441,32,3,294.39,628.42,32,true,
qwen2.5-7b_baseline_v2,xlong,441,32,4,294.90,628.93,32,true,
qwen2.5-7b_baseline_v2,xlong,441,32,5,295.22,629.12,32,true,
qwen2.5-7b_baseline_v2,xxlong,884,16,1,792.31,845.38,16,true,
qwen2.5-7b_baseline_v2,xxlong,884,16,2,295.48,348.68,16,true,
qwen2.5-7b_baseline_v2,xxlong,884,16,3,294.65,347.60,16,true,
qwen2.5-7b_baseline_v2,xxlong,884,16,4,294.99,348.33,16,true,
qwen2.5-7b_baseline_v2,xxlong,884,16,5,299.30,352.32,16,true,
