config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
qwen2.5-7b_mixed-b,tiny,1,32,1,450.81,784.07,32,true,
qwen2.5-7b_mixed-b,tiny,1,32,2,324.57,657.47,32,true,
qwen2.5-7b_mixed-b,tiny,1,32,3,334.23,666.90,32,true,
qwen2.5-7b_mixed-b,tiny,1,32,4,329.63,662.58,32,true,
qwen2.5-7b_mixed-b,tiny,1,32,5,345.40,678.31,32,true,
qwen2.5-7b_mixed-b,short,7,64,1,341.85,1235.30,64,true,
qwen2.5-7b_mixed-b,short,7,64,2,346.61,1240.12,64,true,
qwen2.5-7b_mixed-b,short,7,64,3,331.14,1224.25,64,true,
qwen2.5-7b_mixed-b,short,7,64,4,346.32,1239.66,64,true,
qwen2.5-7b_mixed-b,short,7,64,5,327.16,1220.65,64,true,
qwen2.5-7b_mixed-b,medium,52,64,1,388.26,1283.41,64,true,
qwen2.5-7b_mixed-b,medium,52,64,2,324.20,1219.42,64,true,
qwen2.5-7b_mixed-b,medium,52,64,3,332.83,1228.41,64,true,
qwen2.5-7b_mixed-b,medium,52,64,4,326.88,1222.11,64,true,
qwen2.5-7b_mixed-b,medium,52,64,5,314.29,1209.33,64,true,
qwen2.5-7b_mixed-b,long,221,32,1,616.31,932.82,32,true,
qwen2.5-7b_mixed-b,long,221,32,2,330.10,664.18,32,true,
qwen2.5-7b_mixed-b,long,221,32,3,333.94,667.94,32,true,
qwen2.5-7b_mixed-b,long,221,32,4,336.90,670.98,32,true,
qwen2.5-7b_mixed-b,long,221,32,5,337.71,671.79,32,true,
qwen2.5-7b_mixed-b,xlong,441,32,1,631.95,948.69,32,true,
qwen2.5-7b_mixed-b,xlong,441,32,2,324.71,658.80,32,true,
qwen2.5-7b_mixed-b,xlong,441,32,3,335.59,670.07,32,true,
qwen2.5-7b_mixed-b,xlong,441,32,4,347.64,681.78,32,true,
qwen2.5-7b_mixed-b,xlong,441,32,5,324.99,658.65,32,true,
qwen2.5-7b_mixed-b,xxlong,884,16,1,871.14,923.96,16,true,
qwen2.5-7b_mixed-b,xxlong,884,16,2,326.74,379.67,16,true,
qwen2.5-7b_mixed-b,xxlong,884,16,3,347.37,400.45,16,true,
qwen2.5-7b_mixed-b,xxlong,884,16,4,362.08,415.09,16,true,
qwen2.5-7b_mixed-b,xxlong,884,16,5,332.30,385.41,16,true,
