config,input_type,prompt_tokens,max_new_tokens,run_id,ttft_ms,e2e_ms,completion_tokens,success,error
qwen2.5-7b_quant-8bit,tiny,1,32,1,562.32,895.10,32,true,
qwen2.5-7b_quant-8bit,tiny,1,32,2,320.67,653.41,32,true,
qwen2.5-7b_quant-8bit,tiny,1,32,3,318.22,651.13,32,true,
qwen2.5-7b_quant-8bit,tiny,1,32,4,694.16,1027.27,32,true,
qwen2.5-7b_quant-8bit,tiny,1,32,5,303.71,636.75,32,true,
qwen2.5-7b_quant-8bit,short,7,64,1,585.06,1461.09,64,true,
qwen2.5-7b_quant-8bit,short,7,64,2,321.46,1197.58,64,true,
qwen2.5-7b_quant-8bit,short,7,64,3,325.79,1201.77,64,true,
qwen2.5-7b_quant-8bit,short,7,64,4,325.33,1201.30,64,true,
qwen2.5-7b_quant-8bit,short,7,64,5,321.33,1197.10,64,true,
qwen2.5-7b_quant-8bit,medium,52,64,1,317.18,1212.40,64,true,
qwen2.5-7b_quant-8bit,medium,52,64,2,305.34,1200.72,64,true,
qwen2.5-7b_quant-8bit,medium,52,64,3,307.59,1203.21,64,true,
qwen2.5-7b_quant-8bit,medium,52,64,4,308.61,1204.00,64,true,
qwen2.5-7b_quant-8bit,medium,52,64,5,309.53,1204.81,64,true,
qwen2.5-7b_quant-8bit,long,221,32,1,300.50,652.52,32,true,
qwen2.5-7b_quant-8bit,long,221,32,2,289.97,641.71,32,true,
qwen2.5-7b_quant-8bit,long,221,32,3,289.21,640.59,32,true,
qwen2.5-7b_quant-8bit,long,221,32,4,292.31,644.15,32,true,
qwen2.5-7b_quant-8bit,long,221,32,5,290.13,642.05,32,true,
qwen2.5-7b_quant-8bit,xlong,441,32,1,320.28,654.42,32,true,
qwen2.5-7b_quant-8bit,xlong,441,32,2,307.89,642.03,32,true,
qwen2.5-7b_quant-8bit,xlong,441,32,3,310.74,644.92,32,true,
qwen2.5-7b_quant-8bit,xlong,441,32,4,309.39,643.61,32,true,
qwen2.5-7b_quant-8bit,xlong,441,32,5,307.08,641.11,32,true,
qwen2.5-7b_quant-8bit,xxlong,884,16,1,339.87,375.15,16,true,
qwen2.5-7b_quant-8bit,xxlong,884,16,2,328.98,364.39,16,true,
qwen2.5-7b_quant-8bit,xxlong,884,16,3,328.83,364.22,16,true,
qwen2.5-7b_quant-8bit,xxlong,884,16,4,331.16,366.62,16,true,
qwen2.5-7b_quant-8bit,xxlong,884,16,5,325.79,361.22,16,true,
